station_type,classification,station_name,station_address,monitor_item,longitude,latitude
自動測站,一般測站,大安站,臺北市大安區忠孝東路3段248巷30號、懷生國中,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.540665,25.040152
人工測站,一般測站,士林站,臺北市士林區大東路80號、士林警分局,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5238136,25.0907192
人工測站,一般測站,陽明山站,臺北市士林區仰德大道3段61號、陽明山國小,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5506281,25.1193372
自動測站,交通測站,承德站,臺北市士林區承德路、中正路口,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5164861,25.09135
人工測站,一般測站,大同站,臺北市大同區重慶北路3段320號、啟聰學校,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5111959,25.0746885
人工測站,一般測站,六張犁站,臺北市大安區臥龍街170號、芳和國中,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.548131,25.0186765
人工測站,一般測站,金華站,臺北市大安區新生南路2段32號、金華國中,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5309893,25.031206
人工測站,一般測站,公館站,臺北市大安區羅斯福路4段21號、銘傳國小,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5332063,25.0140488
自動測站,一般測站,大直站,臺北市中山區明水路325號4樓頂、北安國中,SO2、O3、NOx、CO、PM10、PM2.4、風速、風向、溫度、濕度、輻射,121.541539,25.077959
自動測站,交通測站,中北站,臺北市中山區中山北路、南京東路口,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5227167,25.05206389
人工測站,一般測站,長春站,臺北市中山區建國北路2段69號、臺北大學,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5352229,25.0566032
人工測站,一般測站,東門站,臺北市中正區仁愛路1段2之4號、東門國小,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.518687,25.0386465
自動測站,一般測站,中正站,臺北市中正區公園路29號4樓頂、臺北市立大學附設小學,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5164056,25.03610556
自動測站,一般測站,內湖站,臺北市內湖區成功路2段320巷19號4樓、內湖區清潔隊部,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5900667,25.067875
自動測站,一般測站,木柵站,臺北市文山區指南路2段64號4樓頂、政治大學,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5755306,24.98738889
人工測站,一般測站,景美站,臺北市文山區景中街27號、景美國中,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5407523,24.9930313
人工測站,一般測站,北投站,臺北市北投區中央北路1段73號、北投國小,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.497662,25.133689
人工測站,一般測站,石牌站,臺北市北投區致遠2路80號、石牌國小,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5102115,25.1151147
人工測站,一般測站,敦化站,臺北市松山區三民路5號、西松國小,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5612989,25.0523066
自動測站,一般測站,信義站,臺北市信義區松德路168巷15號3樓頂、興雅國中,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5718861,25.03595278
人工測站,一般測站,南港站,臺北市南港區興中路29號、南港高工,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.6074426,25.0559696
自動測站,一般測站,南港站,臺北市南港區興中路29號4樓頂、南港高工,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.6074426,25.0559696
人工測站,一般測站,北門站,臺北市萬華區中華路1段66號、褔星國小,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5067164,25.0467877
人工測站,一般測站,雙園站,臺北市萬華區東園街17號、西園路派出所,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.4934772,25.0280896
自動測站,交通測站,向陽站,臺北市南港區向陽路、市民大道口,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5957201,25.05174402
